NewVehicleRef,Timestamp_x,segment_id,HalfHourly,intersections_y,busstops_y,DayOfWeek_y,Holiday_y,BusLane_y,AvgSpeed
MTA NYCT_3837_1,2018-04-08 16:24:27-04:00,4,0,9,1,7,1,False,3.24896373057
MTA NYCT_3837_1,2018-04-09 16:10:44-04:00,4,0,9,1,1,0,True,1.38837378641
MTA NYCT_3837_1,2018-04-06 17:57:23-04:00,5,3,8,3,5,0,True,0.961540469974
MTA NYCT_3837_1,2018-04-08 16:28:13-04:00,5,0,8,3,7,1,False,2.93436842105
MTA NYCT_3837_1,2018-04-09 16:18:09-04:00,5,0,8,3,1,0,True,2.0659009009
MTA NYCT_3837_1,2018-04-06 18:04:17-04:00,6,4,9,3,5,0,True,1.81952879581
MTA NYCT_3837_1,2018-04-07 19:33:29-04:00,6,7,9,3,6,1,False,1.56035714286
MTA NYCT_3837_1,2018-04-08 16:31:56-04:00,6,1,9,3,7,1,False,2.09305343511
MTA NYCT_3837_1,2018-04-09 16:22:23-04:00,6,0,9,3,1,0,True,1.23508928571
MTA NYCT_3837_2,2018-04-09 19:57:53-04:00,1,7,11,4,1,0,False,3.45393700787
MTA NYCT_3838_1,2018-04-06 16:12:37-04:00,1,0,11,4,5,0,True,2.54098101266
MTA NYCT_3838_1,2018-04-06 16:18:26-04:00,2,0,15,5,5,0,True,1.62188811189
MTA NYCT_3838_1,2018-04-06 16:28:29-04:00,3,0,16,6,5,0,True,1.96389655172
MTA NYCT_3838_1,2018-04-09 16:00:29-04:00,3,0,16,6,1,0,True,1.59454326923
MTA NYCT_3838_1,2018-04-11 16:26:43-04:00,3,0,16,6,3,0,True,2.34852678571
MTA NYCT_3838_1,2018-04-06 16:38:41-04:00,4,1,9,1,5,0,True,1.31342379958
MTA NYCT_3838_1,2018-04-09 16:07:58-04:00,4,0,9,1,1,0,True,2.22579766537
MTA NYCT_3838_1,2018-04-11 16:34:43-04:00,4,1,9,1,3,0,True,1.89349019608
MTA NYCT_3838_1,2018-04-06 16:47:12-04:00,5,1,8,3,5,0,True,1.5845026178
MTA NYCT_3838_1,2018-04-09 16:12:47-04:00,5,0,8,3,1,0,True,1.56921568627
MTA NYCT_3838_1,2018-04-11 16:39:30-04:00,5,1,8,3,3,0,True,1.46
MTA NYCT_3838_1,2018-04-06 16:50:56-04:00,6,1,9,3,5,0,True,1.90521052632
MTA NYCT_3838_1,2018-04-09 16:17:33-04:00,6,0,9,3,1,0,True,2.2554887218
MTA NYCT_3838_1,2018-04-11 16:44:48-04:00,6,1,9,3,3,0,True,2.39923469388
MTA NYCT_3881_1,2018-04-07 18:17:20-04:00,1,4,11,4,6,1,False,3.67257894737
MTA NYCT_3881_1,2018-04-09 17:17:11-04:00,1,2,11,4,1,0,True,4.13161490683
MTA NYCT_3881_1,2018-04-10 19:39:23-04:00,1,7,11,4,2,0,False,8.42042105263
