Timestamp,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber,DayOfWeek,VehicleDistanceAlongRoute
2018-04-10 16:01:35-04:00,233.44037000000003,MTA NYCT_OF_B8-Weekday-SDon_E_OF_29580_M1-123,7172.01,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-091900_M1_147,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,97.86,2018-04-10T16:02:14.675-04:00,2018-04-10T16:02:14.675-04:00,MTA_M010187,40.768966999999996,MTA NYCT_M1,-73.969588,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:35.000-04:00,5 AV/E 65 ST,MTA_400126,0,MTA NYCT_6778,1,2,7074.150000000001
2018-04-10 16:01:35-04:00,233.44037000000003,MTA NYCT_OF_B8-Weekday-SDon_E_OF_29580_M1-123,7172.01,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-091900_M1_147,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,97.86,2018-04-10T16:02:43.511-04:00,2018-04-10T16:02:43.511-04:00,MTA_M010187,40.768966999999996,MTA NYCT_M1,-73.969588,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:35.000-04:00,5 AV/E 65 ST,MTA_400126,0,MTA NYCT_6778,1,2,7074.150000000001
2018-04-10 16:01:43-04:00,234.52467000000001,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54060_M1-105,7444.01,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-090400_M1_105,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,10.66,2018-04-10T16:02:09.674-04:00,2018-04-10T16:02:09.674-04:00,MTA_M010187,40.766139,MTA NYCT_M1,-73.971648,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-10T16:01:43.000-04:00,5 AV/E 62 ST,MTA_400128,0,MTA NYCT_6758,1,2,7433.35
2018-04-10 16:01:44-04:00,233.9537,MTA NYCT_OF_B8-Weekday-SDon_E_OF_29220_M1-122,4982.98,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-092900_M1_145,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,96.28,2018-04-10T16:02:11.620-04:00,2018-04-10T16:02:11.620-04:00,MTA_M010187,40.786184999999996,MTA NYCT_M1,-73.957022,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:44.000-04:00,5 AV/EAST 92 ST,MTA_400116,0,MTA NYCT_6783,1,2,4886.7
2018-04-10 16:01:49-04:00,233.90286,MTA NYCT_OF_B8-Weekday-SDon_E_OF_55260_M1-113,5621.35,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-092400_M1_113,E VILLAGE 8 ST via 5 AV,MTA_403793,1,69.11,2018-04-10T16:02:19.384-04:00,2018-04-10T16:02:19.384-04:00,MTA_M010186,40.780946,MTA NYCT_M1,-73.96084499999999,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:49.000-04:00,5 AV/EAST 84 ST,MTA_400119,0,MTA NYCT_6776,1,2,5552.240000000001
2018-04-10 16:01:52-04:00,233.65923999999998,MTA NYCT_OF_B8-Weekday-SDon_E_OF_20820_M1-105,9128.65,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-089200_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,187.59,2018-04-10T16:02:53.513-04:00,2018-04-10T16:02:53.513-04:00,MTA_M010187,40.754273,MTA NYCT_M1,-73.98030899999999,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-10T16:01:52.000-04:00,5 AV/W 42 ST,MTA_400518,0,MTA NYCT_3832,1,2,8941.06
2018-04-10 16:01:53-04:00,233.31763999999998,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54660_M1-146,7653.54,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-091400_M1_146,E VILLAGE 8 ST via 5 AV,MTA_403793,1,23.28,2018-04-10T16:02:09.674-04:00,2018-04-10T16:02:09.674-04:00,MTA_M010186,40.764590000000005,MTA NYCT_M1,-73.97278100000001,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-10T16:01:53.000-04:00,5 AV/W  59 ST,MTA_400512,0,MTA NYCT_3883,1,2,7630.26
2018-04-10 16:01:59-04:00,234.02312999999998,MTA NYCT_OF_B8-Weekday-SDon_E_OF_28980_M7-204,8468.14,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-089800_M7_207,E VILLAGE 8 ST via 5 AV,MTA_403793,1,33.81,2018-04-10T16:02:20.618-04:00,2018-04-10T16:02:20.618-04:00,MTA_M010186,40.758262,MTA NYCT_M1,-73.977401,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:59.000-04:00,5 AV/W 49 ST,MTA_400515,0,MTA NYCT_3893,1,2,8434.33
2018-04-10 16:02:06-04:00,233.44037000000003,MTA NYCT_OF_B8-Weekday-SDon_E_OF_29580_M1-123,7172.01,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-091900_M1_147,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,92.52,2018-04-10T16:02:43.511-04:00,2018-04-10T16:02:43.511-04:00,MTA_M010187,40.768926,MTA NYCT_M1,-73.969619,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:02:06.000-04:00,5 AV/E 65 ST,MTA_400126,0,MTA NYCT_6778,1,2,7079.49
2018-04-10 16:02:07-04:00,234.62585,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54360_M7-208,7282.37,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-090900_M7_208,E VILLAGE 8 ST via 5 AV,MTA_403793,1,80.09,2018-04-10T16:02:52.563-04:00,2018-04-10T16:02:52.563-04:00,MTA_M010186,40.767959999999995,MTA NYCT_M1,-73.970326,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:02:07.000-04:00,5 AV/E 63 ST,MTA_400127,0,MTA NYCT_3888,1,2,7202.28
