,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
10,234.13187,MTA NYCT_OF_B8-Sunday_D_OF_58800_M1-134,11783.52,2018-04-08,MTA NYCT_OF_B8-Sunday-098300_M1_134,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,156.59,2018-04-08T17:28:32.806-04:00,2018-04-08T17:28:32.806-04:00,MTA_M010187,40.733129,MTA NYCT_M1,-73.995711,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-08T17:27:29.000-04:00,E 8 ST/5 AV,MTA_400335,0,MTA NYCT_3886,1
11,233.95607,MTA NYCT_OF_B8-Sunday_D_OF_31980_M1-117,610.96,2018-04-08,MTA NYCT_OF_B8-Sunday-104400_M1_129,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,171.98,2018-04-08T17:28:28.464-04:00,2018-04-08T17:28:28.464-04:00,MTA_M010187,40.817723,MTA NYCT_M1,-73.938307,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-08T17:27:36.000-04:00,W 139 ST/MALCOLM X BL,MTA_400091,0,MTA NYCT_6783,1
12,53.967228,MTA NYCT_OF_B8-Sunday_D_OF_36600_M1-102,3011.2,2018-04-08,MTA NYCT_OF_B8-Sunday-103200_M1_139,HARLEM 147 ST via MADISON,MTA_803003,0,187.08,2018-04-08T17:28:34.275-04:00,2018-04-08T17:28:34.275-04:00,MTA_M010182,40.742761,MTA NYCT_M1,-73.986604,True,MTA NYCT,,MTA_903130,< 1 stop away,normalProgress,,M1,2018-04-08T17:27:33.000-04:00,MADISON AV/E 28 ST,MTA_405380,0,MTA NYCT_3837,1
13,53.6351,MTA NYCT_OF_B8-Sunday_D_OF_43200_M1-132,10292.38,2018-04-08,MTA NYCT_OF_B8-Sunday-099100_M1_132,HARLEM 147 ST via MADISON,MTA_803003,0,208.59,2018-04-08T17:28:35.929-04:00,2018-04-08T17:28:35.929-04:00,MTA_M010182,40.799903,MTA NYCT_M1,-73.944907,True,MTA NYCT,,MTA_903130,< 1 stop away,normalProgress,,M1,2018-04-08T17:27:26.000-04:00,MADISON AV/E 118 ST,MTA_400051,0,MTA NYCT_6772,1
14,68.62261,MTA NYCT_OF_B8-Sunday_D_OF_46980_M1-135,558.22,2018-04-08,MTA NYCT_OF_B8-Sunday-104500_M1_135,HARLEM 147 ST via MADISON,MTA_803003,0,313.86,2018-04-08T17:29:05.357-04:00,2018-04-08T17:29:05.357-04:00,MTA_M010182,40.722775,MTA NYCT_M1,-73.996934,True,MTA NYCT,,MTA_903130,< 1 stop away,normalProgress,,M1,2018-04-08T17:27:23.000-04:00,LAFAYETTE ST/E HOUSTON ST,MTA_400083,0,MTA NYCT_6765,1
0,233.8172,MTA NYCT_OF_B8-Sunday_D_OF_40740_M1-131,3091.99,2018-04-08,MTA NYCT_OF_B8-Sunday-103200_M1_128,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,16.05,2018-04-08T17:28:18.752-04:00,2018-04-08T17:28:18.752-04:00,MTA_M010187,40.80044,MTA NYCT_M1,-73.946624,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T17:27:50.000-04:00,5 AV/W 116 ST,MTA_400103,0,MTA NYCT_6767,1
1,49.23225,MTA NYCT_OF_B8-Sunday_D_OF_21660_M1-106,13730.36,2018-04-08,MTA NYCT_OF_B8-Sunday-097300_M1_136,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,21.04,2018-04-08T17:28:17.872-04:00,2018-04-08T17:28:17.872-04:00,MTA_M010187,40.720446,MTA NYCT_M1,-73.997955,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T17:28:12.000-04:00,CENTRE ST/BROOME ST,MTA_803192,0,MTA NYCT_6776,1
2,54.044666,MTA NYCT_OF_B8-Sunday_D_OF_27000_M1-111,4575.39,2018-04-08,MTA NYCT_OF_B8-Sunday-102200_M1_130,HARLEM 147 ST via MADISON,MTA_803003,0,23.01,2018-04-08T17:28:18.752-04:00,2018-04-08T17:28:18.752-04:00,MTA_M010182,40.756364,MTA NYCT_M1,-73.976681,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-08T17:27:59.204-04:00,MADISON AV/E 47 ST,MTA_400359,0,MTA NYCT_3829,1
3,233.89124,MTA NYCT_OF_B8-Sunday_D_OF_49680_M1-127,133.41,2018-04-08,MTA NYCT_OF_B8-Sunday-100700_M1_127,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,101.99,,,MTA_M010187,40.820887,MTA NYCT_M1,-73.935902,True,MTA NYCT,2018-04-08T16:47:00.000-04:00,MTA_405284,approaching,noProgress,layover,M1,2018-04-08T17:28:09.326-04:00,MALCOLM X BL/W 145 ST,MTA_400088,0,MTA NYCT_3831,1
4,53.988956,MTA NYCT_OF_B8-Sunday_D_OF_17760_M1-102,4972.64,2018-04-08,MTA NYCT_OF_B8-Sunday-101200_M1_138,HARLEM 147 ST via MADISON,MTA_803003,0,104.81,2018-04-08T17:28:40.137-04:00,2018-04-08T17:28:40.137-04:00,MTA_M010182,40.758848,MTA NYCT_M1,-73.97487,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T17:28:07.000-04:00,MADISON AV/E 52 ST,MTA_400361,0,MTA NYCT_6749,1
5,53.879025,MTA NYCT_OF_B8-Sunday_D_OF_36600_M1-102,3011.2,2018-04-08,MTA NYCT_OF_B8-Sunday-103200_M1_139,HARLEM 147 ST via MADISON,MTA_803003,0,107.4,2018-04-08T17:28:41.176-04:00,2018-04-08T17:28:41.176-04:00,MTA_M010182,40.743388,MTA NYCT_M1,-73.986147,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T17:28:06.000-04:00,MADISON AV/E 28 ST,MTA_405380,0,MTA NYCT_3837,1
6,233.96713,MTA NYCT_OF_B8-Sunday_D_OF_39180_M1-129,9368.51,2018-04-08,MTA NYCT_OF_B8-Sunday-099700_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,114.22,2018-04-08T17:28:54.677-04:00,2018-04-08T17:28:54.677-04:00,MTA_M010187,40.751807,MTA NYCT_M1,-73.982107,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T17:28:11.000-04:00,5 AV/W 38 ST,MTA_400519,0,MTA NYCT_3833,1
7,50.502342,MTA NYCT_OF_B8-Sunday_D_OF_46980_M1-135,558.22,2018-04-08,MTA NYCT_OF_B8-Sunday-104500_M1_135,HARLEM 147 ST via MADISON,MTA_803003,0,114.4,2018-04-08T17:28:32.307-04:00,2018-04-08T17:28:32.307-04:00,MTA_M010182,40.724374,MTA NYCT_M1,-73.995907,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T17:27:55.000-04:00,LAFAYETTE ST/E HOUSTON ST,MTA_400083,0,MTA NYCT_6765,1
8,233.61235,MTA NYCT_OF_B8-Sunday_D_OF_58800_M1-134,11783.52,2018-04-08,MTA NYCT_OF_B8-Sunday-098300_M1_134,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,114.58,2018-04-08T17:28:33.986-04:00,2018-04-08T17:28:33.986-04:00,MTA_M010187,40.732798,MTA NYCT_M1,-73.995951,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T17:28:01.000-04:00,E 8 ST/5 AV,MTA_400335,0,MTA NYCT_3886,1
9,233.81387,MTA NYCT_OF_B8-Sunday_D_OF_23160_M1-108,3875.46,2018-04-08,MTA NYCT_OF_B8-Sunday-101700_M1_143,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,130.21,2018-04-08T17:28:42.283-04:00,2018-04-08T17:28:42.283-04:00,MTA_M010187,40.79517,MTA NYCT_M1,-73.950465,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T17:28:16.000-04:00,5 AV/E 106 ST,MTA_400109,0,MTA NYCT_3891,1
10,233.95607,MTA NYCT_OF_B8-Sunday_D_OF_31980_M1-117,610.96,2018-04-08,MTA NYCT_OF_B8-Sunday-104400_M1_129,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,138.79,2018-04-08T17:28:51.340-04:00,2018-04-08T17:28:51.340-04:00,MTA_M010187,40.817462,MTA NYCT_M1,-73.938497,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T17:28:09.000-04:00,W 139 ST/MALCOLM X BL,MTA_400091,0,MTA NYCT_6783,1
11,53.8097,MTA NYCT_OF_B8-Sunday_D_OF_54420_M1-131,6015.05,2018-04-08,MTA NYCT_OF_B8-Sunday-100100_M1_131,HARLEM 147 ST via MADISON,MTA_803003,0,140.48,2018-04-08T17:28:37.735-04:00,2018-04-08T17:28:37.735-04:00,MTA_M010182,40.766772,MTA NYCT_M1,-73.969089,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T17:28:10.000-04:00,MADISON AV/E 66 ST,MTA_404994,0,MTA NYCT_3893,1
12,54.03297,MTA NYCT_OF_B8-Sunday_D_OF_43200_M1-132,10292.38,2018-04-08,MTA NYCT_OF_B8-Sunday-099100_M1_132,HARLEM 147 ST via MADISON,MTA_803003,0,159.51,2018-04-08T17:28:49.475-04:00,2018-04-08T17:28:49.475-04:00,MTA_M010182,40.80029,MTA NYCT_M1,-73.944625,True,MTA NYCT,,MTA_903130,< 1 stop away,normalProgress,,M1,2018-04-08T17:27:56.000-04:00,MADISON AV/E 118 ST,MTA_400051,0,MTA NYCT_6772,1
13,62.19854,MTA NYCT_OF_B8-Sunday_D_OF_19620_M1-104,206.22,2018-04-08,MTA NYCT_OF_B8-Sunday-105100_M1_117,HARLEM 147 ST via MADISON,MTA_803003,0,199.25,2018-04-08T17:28:53.808-04:00,2018-04-08T17:28:53.808-04:00,MTA_M010182,40.720726,MTA NYCT_M1,-73.997713,True,MTA NYCT,,MTA_903130,< 1 stop away,normalProgress,,M1,2018-04-08T17:28:12.000-04:00,CLEVELAND  PL/SPRING ST,MTA_400081,0,MTA NYCT_6750,1
0,339.27444,MTA NYCT_OF_B8-Sunday_D_OF_31980_M1-117,610.96,2018-04-08,MTA NYCT_OF_B8-Sunday-104400_M1_129,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,3.02,2018-04-08T17:28:49.183-04:00,2018-04-08T17:28:49.183-04:00,MTA_M010187,40.816531,MTA NYCT_M1,-73.938688,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T17:28:42.000-04:00,W 139 ST/MALCOLM X BL,MTA_400091,0,MTA NYCT_6783,1
1,54.211025,MTA NYCT_OF_B8-Sunday_D_OF_27000_M1-111,4733.54,2018-04-08,MTA NYCT_OF_B8-Sunday-102200_M1_130,HARLEM 147 ST via MADISON,MTA_803003,0,3.29,2018-04-08T17:28:49.183-04:00,2018-04-08T17:28:49.183-04:00,MTA_M010182,40.757764,MTA NYCT_M1,-73.975659,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-08T17:28:30.324-04:00,MADISON AV/E 49 ST,MTA_400360,0,MTA NYCT_3829,1
2,49.23225,MTA NYCT_OF_B8-Sunday_D_OF_21660_M1-106,13730.36,2018-04-08,MTA NYCT_OF_B8-Sunday-097300_M1_136,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,10.52,2018-04-08T17:28:49.183-04:00,2018-04-08T17:28:49.183-04:00,MTA_M010187,40.720525,MTA NYCT_M1,-73.997887,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T17:28:44.000-04:00,CENTRE ST/BROOME ST,MTA_803192,0,MTA NYCT_6776,1
3,50.781116,MTA NYCT_OF_B8-Sunday_D_OF_46980_M1-135,558.22,2018-04-08,MTA NYCT_OF_B8-Sunday-104500_M1_135,HARLEM 147 ST via MADISON,MTA_803003,0,55.73,2018-04-08T17:28:49.183-04:00,2018-04-08T17:28:49.183-04:00,MTA_M010182,40.724822,MTA NYCT_M1,-73.995541,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T17:28:28.000-04:00,LAFAYETTE ST/E HOUSTON ST,MTA_400083,0,MTA NYCT_6765,1
4,53.8097,MTA NYCT_OF_B8-Sunday_D_OF_54420_M1-131,6015.05,2018-04-08,MTA NYCT_OF_B8-Sunday-100100_M1_131,HARLEM 147 ST via MADISON,MTA_803003,0,75.38,2018-04-08T17:28:56.882-04:00,2018-04-08T17:28:56.882-04:00,MTA_M010182,40.767284,MTA NYCT_M1,-73.968714,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T17:28:42.000-04:00,MADISON AV/E 66 ST,MTA_404994,0,MTA NYCT_3893,1
5,233.89124,MTA NYCT_OF_B8-Sunday_D_OF_49680_M1-127,133.41,2018-04-08,MTA NYCT_OF_B8-Sunday-100700_M1_127,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,101.99,,,MTA_M010187,40.820887,MTA NYCT_M1,-73.935902,True,MTA NYCT,2018-04-08T16:47:00.000-04:00,MTA_405284,approaching,noProgress,layover,M1,2018-04-08T17:28:42.629-04:00,MALCOLM X BL/W 145 ST,MTA_400088,0,MTA NYCT_3831,1
6,53.988956,MTA NYCT_OF_B8-Sunday_D_OF_17760_M1-102,5210.77,2018-04-08,MTA NYCT_OF_B8-Sunday-101200_M1_138,HARLEM 147 ST via MADISON,MTA_803003,0,102.53,2018-04-08T17:29:02.905-04:00,2018-04-08T17:29:02.905-04:00,MTA_M010182,40.76074,MTA NYCT_M1,-73.973491,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T17:28:40.000-04:00,MADISON AV/E 55  ST,MTA_400362,0,MTA NYCT_6749,1
7,233.96713,MTA NYCT_OF_B8-Sunday_D_OF_39180_M1-129,9368.51,2018-04-08,MTA NYCT_OF_B8-Sunday-099700_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,114.22,2018-04-08T17:28:54.677-04:00,2018-04-08T17:28:54.677-04:00,MTA_M010187,40.751807,MTA NYCT_M1,-73.982107,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T17:28:11.000-04:00,5 AV/W 38 ST,MTA_400519,0,MTA NYCT_3833,1
8,233.61235,MTA NYCT_OF_B8-Sunday_D_OF_58800_M1-134,11783.52,2018-04-08,MTA NYCT_OF_B8-Sunday-098300_M1_134,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,114.58,2018-04-08T17:28:49.183-04:00,2018-04-08T17:28:49.183-04:00,MTA_M010187,40.732798,MTA NYCT_M1,-73.995951,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T17:28:01.000-04:00,E 8 ST/5 AV,MTA_400335,0,MTA NYCT_3886,1
9,233.81387,MTA NYCT_OF_B8-Sunday_D_OF_23160_M1-108,3875.46,2018-04-08,MTA NYCT_OF_B8-Sunday-101700_M1_143,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,130.21,2018-04-08T17:28:49.183-04:00,2018-04-08T17:28:49.183-04:00,MTA_M010187,40.79517,MTA NYCT_M1,-73.950465,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T17:28:16.000-04:00,5 AV/E 106 ST,MTA_400109,0,MTA NYCT_3891,1
